[2025-07-23T08:43:46.550+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý CII: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:46.555+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý CIG: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:46.597+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý CHP: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:46.630+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý CKG: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:46.725+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý CLC: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:46.884+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý CLW: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:46.892+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý CLL: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:46.903+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý CMG: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:46.941+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý CMV: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:46.965+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý CMX: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:47.204+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý COM: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:47.218+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý CNG: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:47.249+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý CRC: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:47.272+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý CRE: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:47.285+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý CSM: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:47.458+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý CSV: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:47.486+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý CTD: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:43:47.541+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý CTF: Expecting value: line 1 column 1 (char 0)
