[2025-07-23T08:35:50.254+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý CLW: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:35:50.346+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý CMX: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:35:50.372+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý CMV: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:35:50.409+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý CRC: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:35:50.427+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý CNG: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:35:50.479+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý COM: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:35:50.495+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý CRE: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:35:50.561+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý CSV: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:35:50.636+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý CTD: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:35:50.686+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý CSM: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:35:50.751+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý CTF: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:35:50.780+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý CTG: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:35:50.813+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý CTI: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:35:50.847+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý CTR: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:35:50.851+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý CVT: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:35:50.900+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý D2D: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:35:50.909+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý CTS: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:35:51.087+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý DAT: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:35:51.113+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý DBD: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:35:51.116+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý DBT: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:35:51.130+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý DAH: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:35:51.216+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý DBC: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:35:51.261+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý DCL: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:35:51.269+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý DCM: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:35:51.349+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý DGW: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:35:51.358+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý DHA: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:35:51.363+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý DC4: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:35:51.420+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý DGC: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:35:51.457+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý DHG: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:35:51.499+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý DHC: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:35:51.551+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý DLG: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:35:51.636+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý DHM: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:35:51.641+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý DIG: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:35:51.652+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý DPM: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:35:51.697+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý DMC: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:35:51.811+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý DPG: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:35:51.839+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý DQC: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:35:51.961+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý DPR: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:35:51.965+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý DRC: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:35:51.995+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý DRH: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:35:52.095+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý DRL: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:35:52.096+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý DSC: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:35:52.226+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý DSN: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:35:52.232+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý DTT: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:35:52.240+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý DSE: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:35:52.245+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý DTL: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:35:52.270+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý DTA: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:35:52.396+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý DVP: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:35:52.422+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý DXV: Expecting value: line 1 column 1 (char 0)
[2025-07-23T08:35:52.426+0000] {History_Day.py:55} ERROR - ❌ Lỗi khi xử lý DXG: Expecting value: line 1 column 1 (char 0)
