[2025-07-24T11:05:51.565+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho GEG
[2025-07-24T11:05:51.579+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho GSP
[2025-07-24T11:05:51.638+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho GEX
[2025-07-24T11:05:51.722+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho GMH
[2025-07-24T11:05:51.730+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho HAR
[2025-07-24T11:05:51.739+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho GTA
[2025-07-24T11:05:51.758+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho HDB
[2025-07-24T11:05:51.817+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho HAG
[2025-07-24T11:05:51.829+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho GVR
[2025-07-24T11:05:51.869+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho HAH
[2025-07-24T11:05:52.011+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho HID
[2025-07-24T11:05:52.023+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho HAX
[2025-07-24T11:05:52.028+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho HMC
[2025-07-24T11:05:52.173+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho HCD
[2025-07-24T11:05:52.232+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho HCM
[2025-07-24T11:05:52.272+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho HDC
[2025-07-24T11:05:52.315+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho HQC
[2025-07-24T11:05:52.319+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho HHS
[2025-07-24T11:05:52.388+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho HHV
[2025-07-24T11:05:52.405+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho HDG
[2025-07-24T11:05:52.411+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho HHP
