[2025-07-24T11:09:49.255+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho DRL
[2025-07-24T11:09:49.405+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho DRH
[2025-07-24T11:09:49.463+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho DSC
[2025-07-24T11:09:49.595+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho DSE
[2025-07-24T11:09:49.643+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho DTL
[2025-07-24T11:09:49.714+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho DSN
[2025-07-24T11:09:49.723+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho DTT
[2025-07-24T11:09:49.738+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho DTA
[2025-07-24T11:09:49.879+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho EIB
[2025-07-24T11:09:49.884+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho DVP
[2025-07-24T11:09:49.971+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho E1VFVN30
[2025-07-24T11:09:49.999+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho EVE
[2025-07-24T11:09:50.037+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho ELC
[2025-07-24T11:09:50.044+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho DXS
[2025-07-24T11:09:50.048+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho DXV
[2025-07-24T11:09:50.124+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho DXG
[2025-07-24T11:09:50.250+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho EVF
[2025-07-24T11:09:50.328+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho EVG
[2025-07-24T11:09:50.442+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho FCM
[2025-07-24T11:09:50.542+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho FMC
[2025-07-24T11:09:50.548+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho FIR
[2025-07-24T11:09:50.694+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho FCN
[2025-07-24T11:09:50.725+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho FUCTVGF3
[2025-07-24T11:09:50.789+0000] {History_Day.py:37} WARNING - ⚠️ Không có dữ liệu cho FDC
