[2025-08-05T08:15:01.243+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-08-05T08:15:18.195+0000] {History_Min.py:52} INFO - ✅ Đã lưu AAA
[2025-08-05T08:15:19.915+0000] {History_Min.py:52} INFO - ✅ Đã lưu ACB
[2025-08-05T08:15:21.226+0000] {History_Min.py:52} INFO - ✅ Đã lưu ACC
[2025-08-05T08:15:21.807+0000] {History_Min.py:52} INFO - ✅ Đã lưu ACG
[2025-08-05T08:15:24.232+0000] {History_Min.py:52} INFO - ✅ Đã lưu ACL
[2025-08-05T08:15:24.562+0000] {History_Min.py:52} INFO - ✅ Đã lưu ADG
[2025-08-05T08:15:24.964+0000] {History_Min.py:52} INFO - ✅ Đã lưu ADP
[2025-08-05T08:15:32.532+0000] {History_Min.py:52} INFO - ✅ Đã lưu AGM
[2025-08-05T08:15:33.041+0000] {History_Min.py:52} INFO - ✅ Đã lưu ADS
[2025-08-05T08:15:34.366+0000] {History_Min.py:52} INFO - ✅ Đã lưu AGG
[2025-08-05T08:15:38.736+0000] {History_Min.py:52} INFO - ✅ Đã lưu AGR
[2025-08-05T08:15:42.545+0000] {History_Min.py:52} INFO - ✅ Đã lưu ANV
[2025-08-05T08:15:42.631+0000] {History_Min.py:52} INFO - ✅ Đã lưu APG
[2025-08-05T08:15:45.597+0000] {History_Min.py:52} INFO - ✅ Đã lưu ASG
[2025-08-05T08:15:46.595+0000] {History_Min.py:52} INFO - ✅ Đã lưu APH
[2025-08-05T08:15:50.204+0000] {History_Min.py:52} INFO - ✅ Đã lưu ASP
[2025-08-05T08:15:50.948+0000] {History_Min.py:52} INFO - ✅ Đã lưu AST
[2025-08-05T08:15:53.629+0000] {History_Min.py:52} INFO - ✅ Đã lưu BBC
[2025-08-05T08:15:58.596+0000] {History_Min.py:52} INFO - ✅ Đã lưu BCE
[2025-08-05T08:15:58.975+0000] {History_Min.py:52} INFO - ✅ Đã lưu BAF
[2025-08-05T08:16:02.698+0000] {History_Min.py:52} INFO - ✅ Đã lưu ASM
[2025-08-05T08:16:06.809+0000] {History_Min.py:52} INFO - ✅ Đã lưu BCM
[2025-08-05T08:16:07.541+0000] {History_Min.py:52} INFO - ✅ Đã lưu BCG
[2025-08-05T08:16:09.362+0000] {History_Min.py:52} INFO - ✅ Đã lưu BFC
[2025-08-05T08:16:09.631+0000] {History_Min.py:52} INFO - ✅ Đã lưu BHN
[2025-08-05T08:16:12.799+0000] {History_Min.py:52} INFO - ✅ Đã lưu BIC
[2025-08-05T08:16:14.704+0000] {History_Min.py:52} INFO - ✅ Đã lưu BKG
[2025-08-05T08:16:19.032+0000] {History_Min.py:52} INFO - ✅ Đã lưu BMC
[2025-08-05T08:16:20.825+0000] {History_Min.py:52} INFO - ✅ Đã lưu BMI
[2025-08-05T08:16:24.337+0000] {History_Min.py:52} INFO - ✅ Đã lưu BRC
[2025-08-05T08:16:24.996+0000] {History_Min.py:52} INFO - ✅ Đã lưu BMP
[2025-08-05T08:16:30.846+0000] {History_Min.py:52} INFO - ✅ Đã lưu BID
[2025-08-05T08:16:32.649+0000] {History_Min.py:52} INFO - ✅ Đã lưu BSI
[2025-08-05T08:16:34.771+0000] {History_Min.py:52} INFO - ✅ Đã lưu BSR
[2025-08-05T08:16:35.155+0000] {History_Min.py:52} INFO - ✅ Đã lưu BTT
[2025-08-05T08:16:35.310+0000] {History_Min.py:52} INFO - ✅ Đã lưu BTP
[2025-08-05T08:16:38.774+0000] {History_Min.py:52} INFO - ✅ Đã lưu C32
[2025-08-05T08:16:42.148+0000] {History_Min.py:52} INFO - ✅ Đã lưu BVH
[2025-08-05T08:16:42.974+0000] {History_Min.py:52} INFO - ✅ Đã lưu BWE
[2025-08-05T08:16:44.067+0000] {History_Min.py:52} INFO - ✅ Đã lưu C47
[2025-08-05T08:16:44.766+0000] {History_Min.py:52} INFO - ✅ Đã lưu CCI
[2025-08-05T08:16:48.868+0000] {History_Min.py:52} INFO - ✅ Đã lưu CHP
[2025-08-05T08:16:50.921+0000] {History_Min.py:52} INFO - ✅ Đã lưu CCL
[2025-08-05T08:16:51.440+0000] {History_Min.py:52} INFO - ✅ Đã lưu CDC
[2025-08-05T08:16:55.551+0000] {History_Min.py:52} INFO - ✅ Đã lưu CIG
[2025-08-05T08:16:56.931+0000] {History_Min.py:52} INFO - ✅ Đã lưu CKG
[2025-08-05T08:16:58.844+0000] {History_Min.py:52} INFO - ✅ Đã lưu CLC
[2025-08-05T08:16:59.395+0000] {History_Min.py:52} INFO - ✅ Đã lưu CII
[2025-08-05T08:17:00.253+0000] {History_Min.py:52} INFO - ✅ Đã lưu CLL
[2025-08-05T08:17:01.247+0000] {History_Min.py:52} INFO - ✅ Đã lưu CLW
[2025-08-05T08:17:02.974+0000] {History_Min.py:52} INFO - ✅ Đã lưu CMV
[2025-08-05T08:17:08.150+0000] {History_Min.py:52} INFO - ✅ Đã lưu CMG
[2025-08-05T08:17:09.643+0000] {History_Min.py:52} INFO - ✅ Đã lưu CMX
[2025-08-05T08:17:10.646+0000] {History_Min.py:52} INFO - ✅ Đã lưu CNG
[2025-08-05T08:17:10.864+0000] {History_Min.py:52} INFO - ✅ Đã lưu COM
[2025-08-05T08:17:14.887+0000] {History_Min.py:52} INFO - ✅ Đã lưu CRC
[2025-08-05T08:17:18.451+0000] {History_Min.py:52} INFO - ✅ Đã lưu CSM
[2025-08-05T08:17:18.682+0000] {History_Min.py:52} INFO - ✅ Đã lưu CRE
[2025-08-05T08:17:25.640+0000] {History_Min.py:52} INFO - ✅ Đã lưu CTF
[2025-08-05T08:17:27.128+0000] {History_Min.py:52} INFO - ✅ Đã lưu CSV
[2025-08-05T08:17:27.851+0000] {History_Min.py:52} INFO - ✅ Đã lưu CTD
[2025-08-05T08:17:34.465+0000] {History_Min.py:52} INFO - ✅ Đã lưu CTI
[2025-08-05T08:17:36.145+0000] {History_Min.py:52} INFO - ✅ Đã lưu CTR
[2025-08-05T08:17:38.836+0000] {History_Min.py:52} INFO - ✅ Đã lưu CVT
[2025-08-05T08:17:44.931+0000] {History_Min.py:52} INFO - ✅ Đã lưu D2D
[2025-08-05T08:17:45.757+0000] {History_Min.py:52} INFO - ✅ Đã lưu CTG
[2025-08-05T08:17:48.918+0000] {History_Min.py:52} INFO - ✅ Đã lưu DAT
[2025-08-05T08:17:52.049+0000] {History_Min.py:52} INFO - ✅ Đã lưu DAH
[2025-08-05T08:17:52.306+0000] {History_Min.py:52} INFO - ✅ Đã lưu CTS
[2025-08-05T08:17:55.570+0000] {History_Min.py:52} INFO - ✅ Đã lưu DBT
[2025-08-05T08:17:55.781+0000] {History_Min.py:52} INFO - ✅ Đã lưu DBC
[2025-08-05T08:17:58.477+0000] {History_Min.py:52} INFO - ✅ Đã lưu DBD
[2025-08-05T08:18:02.628+0000] {History_Min.py:52} INFO - ✅ Đã lưu DC4
[2025-08-05T08:18:03.205+0000] {History_Min.py:52} INFO - ✅ Đã lưu DCL
[2025-08-05T08:18:10.058+0000] {History_Min.py:52} INFO - ✅ Đã lưu DCM
[2025-08-05T08:18:11.228+0000] {History_Min.py:52} INFO - ✅ Đã lưu DGW
[2025-08-05T08:18:12.193+0000] {History_Min.py:52} INFO - ✅ Đã lưu DGC
[2025-08-05T08:18:16.762+0000] {History_Min.py:52} INFO - ✅ Đã lưu DHA
[2025-08-05T08:18:18.207+0000] {History_Min.py:52} INFO - ✅ Đã lưu DHG
[2025-08-05T08:18:18.633+0000] {History_Min.py:52} INFO - ✅ Đã lưu DHC
[2025-08-05T08:18:20.409+0000] {History_Min.py:52} INFO - ✅ Đã lưu DHM
[2025-08-05T08:18:23.817+0000] {History_Min.py:52} INFO - ✅ Đã lưu DMC
[2025-08-05T08:18:25.351+0000] {History_Min.py:52} INFO - ✅ Đã lưu DLG
[2025-08-05T08:18:30.228+0000] {History_Min.py:52} INFO - ✅ Đã lưu DIG
[2025-08-05T08:18:30.584+0000] {History_Min.py:52} INFO - ✅ Đã lưu DPG
[2025-08-05T08:18:34.561+0000] {History_Min.py:52} INFO - ✅ Đã lưu DQC
[2025-08-05T08:18:36.306+0000] {History_Min.py:52} INFO - ✅ Đã lưu DPM
[2025-08-05T08:18:43.107+0000] {History_Min.py:52} INFO - ✅ Đã lưu DRC
[2025-08-05T08:18:43.352+0000] {History_Min.py:52} INFO - ✅ Đã lưu DRH
[2025-08-05T08:18:45.989+0000] {History_Min.py:52} INFO - ✅ Đã lưu DRL
[2025-08-05T08:18:50.400+0000] {History_Min.py:52} INFO - ✅ Đã lưu DPR
[2025-08-05T08:18:51.221+0000] {History_Min.py:52} INFO - ✅ Đã lưu DSC
[2025-08-05T08:18:52.104+0000] {History_Min.py:52} INFO - ✅ Đã lưu DSE
[2025-08-05T08:18:53.950+0000] {History_Min.py:52} INFO - ✅ Đã lưu DSN
[2025-08-05T08:18:54.742+0000] {History_Min.py:52} INFO - ✅ Đã lưu DTA
[2025-08-05T08:18:54.986+0000] {History_Min.py:52} INFO - ✅ Đã lưu DTL
[2025-08-05T08:18:56.449+0000] {History_Min.py:52} INFO - ✅ Đã lưu DTT
[2025-08-05T08:18:58.392+0000] {History_Min.py:52} INFO - ✅ Đã lưu DVP
[2025-08-05T08:19:02.024+0000] {History_Min.py:52} INFO - ✅ Đã lưu DXV
[2025-08-05T08:19:03.818+0000] {History_Min.py:52} INFO - ✅ Đã lưu DXS
[2025-08-05T08:19:08.122+0000] {History_Min.py:52} INFO - ✅ Đã lưu DXG
[2025-08-05T08:19:09.310+0000] {History_Min.py:52} INFO - ✅ Đã lưu E1VFVN30
[2025-08-05T08:19:14.484+0000] {History_Min.py:52} INFO - ✅ Đã lưu EVE
[2025-08-05T08:19:15.555+0000] {History_Min.py:52} INFO - ✅ Đã lưu ELC
[2025-08-05T08:19:23.277+0000] {History_Min.py:52} INFO - ✅ Đã lưu EVG
[2025-08-05T08:19:23.669+0000] {History_Min.py:52} INFO - ✅ Đã lưu EIB
[2025-08-05T08:19:28.044+0000] {History_Min.py:52} INFO - ✅ Đã lưu FCM
[2025-08-05T08:19:30.928+0000] {History_Min.py:52} INFO - ✅ Đã lưu FDC
[2025-08-05T08:19:31.477+0000] {History_Min.py:52} INFO - ✅ Đã lưu FCN
[2025-08-05T08:19:33.381+0000] {History_Min.py:52} INFO - ✅ Đã lưu EVF
[2025-08-05T08:19:40.726+0000] {History_Min.py:52} INFO - ✅ Đã lưu FIR
[2025-08-05T08:19:40.768+0000] {History_Min.py:52} INFO - ✅ Đã lưu FIT
[2025-08-05T08:19:40.819+0000] {History_Min.py:52} INFO - ✅ Đã lưu FMC
[2025-08-05T08:19:47.647+0000] {History_Min.py:52} INFO - ✅ Đã lưu FTS
[2025-08-05T08:19:49.485+0000] {History_Min.py:52} INFO - ✅ Đã lưu FRT
[2025-08-05T08:19:50.002+0000] {History_Min.py:52} INFO - ✅ Đã lưu FUCTVGF3
[2025-08-05T08:19:51.825+0000] {History_Min.py:52} INFO - ✅ Đã lưu FUCTVGF4
[2025-08-05T08:19:52.466+0000] {History_Min.py:52} INFO - ✅ Đã lưu FUCTVGF5
[2025-08-05T08:19:54.436+0000] {History_Min.py:52} INFO - ✅ Đã lưu FUCVREIT
[2025-08-05T08:19:54.966+0000] {History_Min.py:52} INFO - ✅ Đã lưu FUEABVND
[2025-08-05T08:19:56.602+0000] {logging_mixin.py:188} INFO - ❌ Không có dữ liệu trong JSON với symbol=FUEBFVND
[2025-08-05T08:19:56.606+0000] {History_Min.py:38} WARNING - ⚠️ Không có dữ liệu cho FUEBFVND
[2025-08-05T08:19:57.606+0000] {History_Min.py:52} INFO - ✅ Đã lưu FPT
[2025-08-05T08:19:58.463+0000] {History_Min.py:52} INFO - ✅ Đã lưu FUEDCMID
[2025-08-05T08:19:59.498+0000] {History_Min.py:52} INFO - ✅ Đã lưu FUEFCV50
[2025-08-05T08:20:00.455+0000] {History_Min.py:52} INFO - ✅ Đã lưu FUEIP100
[2025-08-05T08:20:01.470+0000] {History_Min.py:52} INFO - ✅ Đã lưu FUEKIV30
[2025-08-05T08:20:02.066+0000] {History_Min.py:52} INFO - ✅ Đã lưu FUEKIVFS
[2025-08-05T08:20:02.840+0000] {History_Min.py:52} INFO - ✅ Đã lưu FUEKIVND
[2025-08-05T08:20:04.331+0000] {History_Min.py:52} INFO - ✅ Đã lưu FUEMAV30
[2025-08-05T08:20:05.061+0000] {History_Min.py:52} INFO - ✅ Đã lưu FUEMAVND
[2025-08-05T08:20:06.637+0000] {History_Min.py:52} INFO - ✅ Đã lưu FUESSV30
[2025-08-05T08:20:07.788+0000] {History_Min.py:52} INFO - ✅ Đã lưu FUESSV50
[2025-08-05T08:20:09.422+0000] {History_Min.py:52} INFO - ✅ Đã lưu FUETCC50
[2025-08-05T08:20:10.378+0000] {History_Min.py:52} INFO - ✅ Đã lưu FUESSVFL
[2025-08-05T08:20:14.651+0000] {History_Min.py:52} INFO - ✅ Đã lưu FUEVFVND
[2025-08-05T08:20:16.487+0000] {History_Min.py:52} INFO - ✅ Đã lưu FUEVN100
[2025-08-05T08:20:18.278+0000] {History_Min.py:52} INFO - ✅ Đã lưu GAS
[2025-08-05T08:20:19.241+0000] {History_Min.py:52} INFO - ✅ Đã lưu GDT
[2025-08-05T08:20:21.485+0000] {History_Min.py:52} INFO - ✅ Đã lưu GEE
[2025-08-05T08:20:24.583+0000] {History_Min.py:52} INFO - ✅ Đã lưu GEG
[2025-08-05T08:20:27.542+0000] {History_Min.py:52} INFO - ✅ Đã lưu GIL
[2025-08-05T08:20:30.859+0000] {History_Min.py:52} INFO - ✅ Đã lưu GMH
[2025-08-05T08:20:34.099+0000] {History_Min.py:52} INFO - ✅ Đã lưu GEX
[2025-08-05T08:20:35.487+0000] {History_Min.py:52} INFO - ✅ Đã lưu GMD
[2025-08-05T08:20:37.115+0000] {History_Min.py:52} INFO - ✅ Đã lưu GTA
[2025-08-05T08:20:37.423+0000] {History_Min.py:52} INFO - ✅ Đã lưu GSP
[2025-08-05T08:20:42.333+0000] {History_Min.py:52} INFO - ✅ Đã lưu GVR
[2025-08-05T08:20:47.087+0000] {History_Min.py:52} INFO - ✅ Đã lưu HAP
[2025-08-05T08:20:54.416+0000] {History_Min.py:52} INFO - ✅ Đã lưu HAR
[2025-08-05T08:20:56.557+0000] {History_Min.py:52} INFO - ✅ Đã lưu HAH
[2025-08-05T08:20:57.014+0000] {History_Min.py:52} INFO - ✅ Đã lưu HAS
[2025-08-05T08:20:57.056+0000] {History_Min.py:52} INFO - ✅ Đã lưu HAG
[2025-08-05T08:21:03.443+0000] {History_Min.py:52} INFO - ✅ Đã lưu HAX
[2025-08-05T08:21:04.004+0000] {History_Min.py:52} INFO - ✅ Đã lưu HCD
[2025-08-05T08:21:08.193+0000] {History_Min.py:52} INFO - ✅ Đã lưu HCM
[2025-08-05T08:21:11.707+0000] {History_Min.py:52} INFO - ✅ Đã lưu HDC
[2025-08-05T08:21:16.633+0000] {History_Min.py:52} INFO - ✅ Đã lưu HHP
[2025-08-05T08:21:20.117+0000] {History_Min.py:52} INFO - ✅ Đã lưu HDB
[2025-08-05T08:21:23.107+0000] {History_Min.py:52} INFO - ✅ Đã lưu HDG
[2025-08-05T08:21:24.624+0000] {History_Min.py:52} INFO - ✅ Đã lưu HHS
[2025-08-05T08:21:28.697+0000] {History_Min.py:52} INFO - ✅ Đã lưu HID
[2025-08-05T08:21:30.558+0000] {History_Min.py:52} INFO - ✅ Đã lưu HII
[2025-08-05T08:21:31.090+0000] {History_Min.py:52} INFO - ✅ Đã lưu HHV
[2025-08-05T08:21:31.768+0000] {History_Min.py:52} INFO - ✅ Đã lưu HMC
[2025-08-05T08:21:33.358+0000] {History_Min.py:52} INFO - ✅ Đã lưu HNA
[2025-08-05T08:21:39.415+0000] {History_Min.py:52} INFO - ✅ Đã lưu HPX
[2025-08-05T08:21:41.069+0000] {History_Min.py:52} INFO - ✅ Đã lưu HPG
[2025-08-05T08:21:42.129+0000] {History_Min.py:52} INFO - ✅ Đã lưu HRC
[2025-08-05T08:21:42.448+0000] {History_Min.py:52} INFO - ✅ Đã lưu HQC
[2025-08-05T08:21:48.012+0000] {History_Min.py:52} INFO - ✅ Đã lưu HSL
[2025-08-05T08:21:49.310+0000] {History_Min.py:52} INFO - ✅ Đã lưu HT1
[2025-08-05T08:21:52.227+0000] {History_Min.py:52} INFO - ✅ Đã lưu HTG
[2025-08-05T08:21:53.216+0000] {History_Min.py:52} INFO - ✅ Đã lưu HTI
[2025-08-05T08:21:55.679+0000] {History_Min.py:52} INFO - ✅ Đã lưu HTL
[2025-08-05T08:21:55.897+0000] {History_Min.py:52} INFO - ✅ Đã lưu HSG
[2025-08-05T08:21:58.817+0000] {History_Min.py:52} INFO - ✅ Đã lưu HTV
[2025-08-05T08:21:58.879+0000] {History_Min.py:52} INFO - ✅ Đã lưu HU1
[2025-08-05T08:21:59.782+0000] {History_Min.py:52} INFO - ✅ Đã lưu HTN
[2025-08-05T08:22:03.577+0000] {History_Min.py:52} INFO - ✅ Đã lưu HUB
[2025-08-05T08:22:05.727+0000] {History_Min.py:52} INFO - ✅ Đã lưu HVH
[2025-08-05T08:22:07.422+0000] {History_Min.py:52} INFO - ✅ Đã lưu HVX
[2025-08-05T08:22:08.182+0000] {History_Min.py:52} INFO - ✅ Đã lưu HVN
[2025-08-05T08:22:09.901+0000] {History_Min.py:52} INFO - ✅ Đã lưu ICT
[2025-08-05T08:22:13.703+0000] {History_Min.py:52} INFO - ✅ Đã lưu ILB
[2025-08-05T08:22:15.190+0000] {History_Min.py:52} INFO - ✅ Đã lưu IDI
[2025-08-05T08:22:16.708+0000] {History_Min.py:52} INFO - ✅ Đã lưu IJC
[2025-08-05T08:22:20.183+0000] {History_Min.py:52} INFO - ✅ Đã lưu IMP
[2025-08-05T08:22:22.089+0000] {History_Min.py:52} INFO - ✅ Đã lưu ITD
[2025-08-05T08:22:22.593+0000] {History_Min.py:52} INFO - ✅ Đã lưu ITC
[2025-08-05T08:22:26.328+0000] {History_Min.py:52} INFO - ✅ Đã lưu JVC
[2025-08-05T08:22:28.678+0000] {History_Min.py:52} INFO - ✅ Đã lưu KDC
[2025-08-05T08:22:36.831+0000] {History_Min.py:52} INFO - ✅ Đã lưu KHG
[2025-08-05T08:22:37.081+0000] {History_Min.py:52} INFO - ✅ Đã lưu KDH
[2025-08-05T08:22:39.242+0000] {History_Min.py:52} INFO - ✅ Đã lưu KBC
[2025-08-05T08:22:41.187+0000] {History_Min.py:52} INFO - ✅ Đã lưu KMR
[2025-08-05T08:22:42.306+0000] {History_Min.py:52} INFO - ✅ Đã lưu KHP
[2025-08-05T08:22:44.069+0000] {History_Min.py:52} INFO - ✅ Đã lưu KOS
[2025-08-05T08:22:46.802+0000] {History_Min.py:52} INFO - ✅ Đã lưu L10
[2025-08-05T08:22:47.281+0000] {History_Min.py:52} INFO - ✅ Đã lưu KPF
[2025-08-05T08:22:49.165+0000] {History_Min.py:52} INFO - ✅ Đã lưu KSB
[2025-08-05T08:22:50.136+0000] {History_Min.py:52} INFO - ✅ Đã lưu LAF
[2025-08-05T08:22:51.161+0000] {History_Min.py:52} INFO - ✅ Đã lưu LBM
[2025-08-05T08:22:53.836+0000] {History_Min.py:52} INFO - ✅ Đã lưu LEC
[2025-08-05T08:22:56.763+0000] {History_Min.py:52} INFO - ✅ Đã lưu LGC
[2025-08-05T08:22:56.903+0000] {History_Min.py:52} INFO - ✅ Đã lưu LCG
[2025-08-05T08:22:57.591+0000] {History_Min.py:52} INFO - ✅ Đã lưu LDG
[2025-08-05T08:23:01.762+0000] {History_Min.py:52} INFO - ✅ Đã lưu LGL
[2025-08-05T08:23:02.658+0000] {History_Min.py:52} INFO - ✅ Đã lưu LIX
[2025-08-05T08:23:04.513+0000] {History_Min.py:52} INFO - ✅ Đã lưu LM8
[2025-08-05T08:23:04.752+0000] {History_Min.py:52} INFO - ✅ Đã lưu LHG
[2025-08-05T08:23:10.542+0000] {History_Min.py:52} INFO - ✅ Đã lưu LSS
[2025-08-05T08:23:14.947+0000] {History_Min.py:52} INFO - ✅ Đã lưu LPB
[2025-08-05T08:23:15.523+0000] {History_Min.py:52} INFO - ✅ Đã lưu MCM
[2025-08-05T08:23:17.741+0000] {History_Min.py:52} INFO - ✅ Đã lưu MCP
[2025-08-05T08:23:18.327+0000] {History_Min.py:52} INFO - ✅ Đã lưu MDG
[2025-08-05T08:23:23.117+0000] {History_Min.py:52} INFO - ✅ Đã lưu MBB
[2025-08-05T08:23:24.988+0000] {History_Min.py:52} INFO - ✅ Đã lưu MHC
[2025-08-05T08:23:26.497+0000] {History_Min.py:52} INFO - ✅ Đã lưu MIG
[2025-08-05T08:23:30.903+0000] {History_Min.py:52} INFO - ✅ Đã lưu MSH
[2025-08-05T08:23:39.669+0000] {History_Min.py:52} INFO - ✅ Đã lưu MSB
[2025-08-05T08:23:42.528+0000] {History_Min.py:52} INFO - ✅ Đã lưu MWG
[2025-08-05T08:23:42.851+0000] {History_Min.py:52} INFO - ✅ Đã lưu MSN
[2025-08-05T08:23:46.019+0000] {History_Min.py:52} INFO - ✅ Đã lưu NAV
[2025-08-05T08:23:48.391+0000] {History_Min.py:52} INFO - ✅ Đã lưu NAB
[2025-08-05T08:23:49.997+0000] {History_Min.py:52} INFO - ✅ Đã lưu NAF
[2025-08-05T08:23:51.305+0000] {History_Min.py:52} INFO - ✅ Đã lưu NBB
[2025-08-05T08:23:52.417+0000] {History_Min.py:52} INFO - ✅ Đã lưu NCT
[2025-08-05T08:23:55.845+0000] {History_Min.py:52} INFO - ✅ Đã lưu NHT
[2025-08-05T08:23:57.448+0000] {History_Min.py:52} INFO - ✅ Đã lưu NHA
[2025-08-05T08:23:58.396+0000] {History_Min.py:52} INFO - ✅ Đã lưu NHH
[2025-08-05T08:24:02.426+0000] {History_Min.py:52} INFO - ✅ Đã lưu NNC
[2025-08-05T08:24:11.747+0000] {History_Min.py:52} INFO - ✅ Đã lưu NO1
[2025-08-05T08:24:12.078+0000] {History_Min.py:52} INFO - ✅ Đã lưu NLG
[2025-08-05T08:24:13.227+0000] {History_Min.py:52} INFO - ✅ Đã lưu NKG
[2025-08-05T08:24:14.596+0000] {History_Min.py:52} INFO - ✅ Đã lưu NSC
[2025-08-05T08:24:20.853+0000] {History_Min.py:52} INFO - ✅ Đã lưu NT2
[2025-08-05T08:24:22.947+0000] {History_Min.py:52} INFO - ✅ Đã lưu NTL
[2025-08-05T08:24:23.858+0000] {History_Min.py:52} INFO - ✅ Đã lưu NVT
[2025-08-05T08:24:25.193+0000] {History_Min.py:52} INFO - ✅ Đã lưu NVL
[2025-08-05T08:24:28.015+0000] {History_Min.py:52} INFO - ✅ Đã lưu OPC
[2025-08-05T08:24:31.998+0000] {History_Min.py:52} INFO - ✅ Đã lưu OGC
[2025-08-05T08:24:32.283+0000] {History_Min.py:52} INFO - ✅ Đã lưu OCB
[2025-08-05T08:24:37.411+0000] {History_Min.py:52} INFO - ✅ Đã lưu PAC
[2025-08-05T08:24:43.061+0000] {History_Min.py:52} INFO - ✅ Đã lưu ORS
[2025-08-05T08:24:46.457+0000] {History_Min.py:52} INFO - ✅ Đã lưu PDN
[2025-08-05T08:24:46.504+0000] {History_Min.py:52} INFO - ✅ Đã lưu PC1
[2025-08-05T08:24:48.694+0000] {History_Min.py:52} INFO - ✅ Đã lưu PAN
[2025-08-05T08:24:52.911+0000] {History_Min.py:52} INFO - ✅ Đã lưu PGC
[2025-08-05T08:24:56.599+0000] {History_Min.py:52} INFO - ✅ Đã lưu PGD
[2025-08-05T08:24:56.642+0000] {History_Min.py:52} INFO - ✅ Đã lưu PET
[2025-08-05T08:24:57.380+0000] {History_Min.py:52} INFO - ✅ Đã lưu PDR
[2025-08-05T08:24:59.128+0000] {History_Min.py:52} INFO - ✅ Đã lưu PGI
[2025-08-05T08:25:00.188+0000] {History_Min.py:52} INFO - ✅ Đã lưu PGV
[2025-08-05T08:25:02.364+0000] {History_Min.py:52} INFO - ✅ Đã lưu PHC
[2025-08-05T08:25:03.173+0000] {History_Min.py:52} INFO - ✅ Đã lưu PIT
[2025-08-05T08:25:05.167+0000] {History_Min.py:52} INFO - ✅ Đã lưu PJT
[2025-08-05T08:25:07.974+0000] {History_Min.py:52} INFO - ✅ Đã lưu PLP
[2025-08-05T08:25:08.016+0000] {History_Min.py:52} INFO - ✅ Đã lưu PHR
[2025-08-05T08:25:10.560+0000] {History_Min.py:52} INFO - ✅ Đã lưu PMG
[2025-08-05T08:25:10.757+0000] {History_Min.py:52} INFO - ✅ Đã lưu PNC
[2025-08-05T08:25:11.868+0000] {History_Min.py:52} INFO - ✅ Đã lưu PLX
[2025-08-05T08:25:21.257+0000] {History_Min.py:52} INFO - ✅ Đã lưu PPC
[2025-08-05T08:25:21.700+0000] {History_Min.py:52} INFO - ✅ Đã lưu PNJ
[2025-08-05T08:25:23.267+0000] {History_Min.py:52} INFO - ✅ Đã lưu POW
[2025-08-05T08:25:28.163+0000] {History_Min.py:52} INFO - ✅ Đã lưu PTC
